filename,value
meter_20200701.JPEG,1784
meter_20201111.JPEG,1819
meter_20251009.JPEG,2279
meter_20260112.JPEG,2302
meter_20260113.jpg,2302
meter_20260130.JPEG,2307
meter_20260202.JPEG,2308
meter_20260210.JPEG,2310
meter_20260214.JPEG,2311
meter_20260216.JPEG,2312
meter_20260219.JPEG,2312
meter_20260220.JPEG,2313
meter_20260224.JPEG,2314
meter_20260227.JPEG,2315
meter_20260303.JPEG,2316
meter_20260307.JPEG,2317
meter_20260310.JPEG,2318
meter_20260323.JPEG,2320
meter_20260327.JPEG,2321
meter_20260401.JPEG,2322
